Zip Code,City/Township/Community,Municipal,County,State,Utility
18704,Kingston,,Luzerne,Pennsylvania,UGI
18704,Kingston,,Luzerne,Pennsylvania,UGI
18705,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18705,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18706,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18706,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18707,Mountain Top,,Luzerne,Pennsylvania,UGI
18708,Shavertown,,Luzerne,Pennsylvania,UGI
18709,Luzerne,,Luzerne,Pennsylvania,UGI
18710,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18710,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18711,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18711,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18762,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18762,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18764,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18764,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18765,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18765,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
